id,start,end,title
IE-2019-D-HLS-001,0,None,"One, two, three, four "
IE-2019-D-HLS-002,0,None,"Twenty, eighteen "
IE-2019-D-HLS-003,0,None,"The rippo, the rappo "
IE-2019-D-HLS-004,0,None,"Bluebells, cockleshells, rhyme "
IE-2019-D-HLS-005,0,None,"Skip, skip, skip to my Lou "
IE-2019-D-HLS-006,0,None,My name is L I L I 
IE-2019-D-HLS-007,0,12,Dusty bluebells 
IE-2019-D-HLS-008,0,None,A big ship sailed to the illy ally oh
IE-2019-D-HLS-009,0,17,Wallflowers 
IE-2019-D-HLS-010,0,None,A little thing goes wandering about 
IE-2019-D-HLS-011,0,None,Thart fá dtaobh de’n bhaile 
IE-2019-D-HLS-013,0,19,Old Roger is dead 
IE-2019-D-HLS-014,0,None,Cups and saucers 
IE-2019-D-HLS-015,0,10,There came three gipsies riding 
IE-2019-D-HLS-016,0,12,Jenny Jones 
IE-2019-D-HLS-017,0,None,"One, two, three, O'Leary"
IE-2019-D-HLS-018,0,None,On the mountain stands a lady 
IE-2019-D-HLS-019,0,8,Hally go lee go lee 
IE-2019-D-HLS-020,0,13,Here are the robbers coming through 
IE-2019-D-HLS-021,0,10,In and out the windows 
IE-2019-D-HLS-022,0,None,Green gravel 
IE-2019-D-HLS-023,0,8,I’m a little Dutch girl 
IE-2019-D-HLS-024,13,24,"Chase, chase, chase the hairy elephant "
IE-2019-D-HLS-025,24,49,The walls of Jerusalem 
IE-2019-D-HLS-026,0,7,My Mother Told Me [A Naughty Girl] 
IE-2019-D-HLS-027,0,None,I’m the wee faloorie man 
IE-2019-D-HLS-028,0,9,In the alley
IE-2019-D-HLS-029,0,13,My aunt Jane she called me in 
IE-2019-D-HLS-030,0,None,Chewing gum a penny a packet 
IE-2019-D-HLS-031,0,None,Our Queen up the river 
IE-2019-D-HLS-032,0,None,Our Queen can burl her leg 
IE-2019-D-HLS-033,0,None,Our Queen won 
IE-2019-D-HLS-034,0,None,Raddy addy and we’re not beat yet 
IE-2019-D-HLS-035,0,None,"Here she sits, a lovely creature "
IE-2019-D-HLS-036,0,None,"Grandma Gray, rhyme "
IE-2019-D-HLS-037,0,None,We’ll join our hands together
IE-2019-D-HLS-038,0,20,Here’s to you Tom Brown
IE-2019-D-HLS-039,0,20,God bless the master of this house
IE-2019-D-HLS-040,0,None,Rocking the cradle 
IE-2019-D-HLS-041,0,None,You’re a wee bonny wean 
IE-2019-D-HLS-042,0,19,Minnie Picken on the shore 
IE-2019-D-HLS-043,0,None,Love will you marry me? 
IE-2019-D-HLS-044,0,None,When I was young I had no sense 
IE-2019-D-HLS-045,0,30,I love my love far better 
IE-2019-D-HLS-046,0,25,The dark-eyed gipsy 
IE-2019-D-HLS-047,0,46,The maid of Culmore 
IE-2019-D-HLS-048,0,10,B’fhearr liom réal beag 
IE-2019-D-HLS-049,0,None,Obadiah 
IE-2019-D-HLS-050,0,36,John Barbour 
IE-2019-D-HLS-051,0,34,The Kerry recruit 
IE-2019-D-HLS-052,0,None,My love she’s but a lassie 
IE-2019-D-HLS-053,0,None,Did you ever see the devil and his wooden leg and shovel 
IE-2019-D-HLS-054,0,None,Some say the divil’s dead 
IE-2019-D-HLS-055,0,None,Wee Magee and a half-a-dozen more 
IE-2019-D-HLS-056,0,None,For my daddy goes to meeting 
IE-2019-D-HLS-057,0,12,My love wears the tarry trousers 
IE-2019-D-HLS-058,0,20,I’ll climb up a high high tree 
IE-2019-D-HLS-059,0,None,On the top of yon heathery mountain 
IE-2019-D-HLS-060,0,28,The tree in the ground 
IE-2019-D-HLS-061,0,12,It’s of a row to you I’ll show 
IE-2019-D-HLS-062,0,18,To my grief and woe I’ll let you know 
IE-2019-D-HLS-063,0,37,The Inniskilling dragoon 
IE-2019-D-HLS-064,0,30,Twas pretty to be in Ballinderry 